Label,D0_open,D0_close,D0_low,D0_high,D1_open,D1_close,D1_low,D1_high,D2_open,D2_close,D2_low,D2_high,D3_open,D3_close,D3_low,D3_high,D4_open,D4_close,D4_low,D4_high,D5_open,D5_close,D5_low,D5_high,D6_open,D6_close,D6_low,D6_high,D7_open,D7_close,D7_low,D7_high
False,0.4732,0.4709,0.4709,0.4732,0.4866,0.4866,0.4866,0.4889,0.4911,0.4866,0.4866,0.4911,0.5134,0.5134,0.5134,0.5155,0.5111,0.5111,0.5111,0.5155,0.5111,0.5111,0.5111,0.5134,0.4932,0.4932,0.4932,0.4955,0.4777,0.4755,0.4755,0.4777
False,0.4688,0.4666,0.4666,0.4688,0.4732,0.4709,0.4709,0.4732,0.4866,0.4866,0.4866,0.4889,0.4911,0.4866,0.4866,0.4911,0.5134,0.5134,0.5134,0.5155,0.5111,0.5111,0.5111,0.5155,0.5111,0.5111,0.5111,0.5134,0.4932,0.4932,0.4932,0.4955
True,0.4598,0.4554,0.4554,0.4598,0.4688,0.4666,0.4666,0.4688,0.4732,0.4709,0.4709,0.4732,0.4866,0.4866,0.4866,0.4889,0.4911,0.4866,0.4866,0.4911,0.5134,0.5134,0.5134,0.5155,0.5111,0.5111,0.5111,0.5155,0.5111,0.5111,0.5111,0.5134
True,0.4666,0.4666,0.4666,0.4688,0.4598,0.4554,0.4554,0.4598,0.4688,0.4666,0.4666,0.4688,0.4732,0.4709,0.4709,0.4732,0.4866,0.4866,0.4866,0.4889,0.4911,0.4866,0.4866,0.4911,0.5134,0.5134,0.5134,0.5155,0.5111,0.5111,0.5111,0.5155
False,0.4866,0.4866,0.4866,0.4911,0.4666,0.4666,0.4666,0.4688,0.4598,0.4554,0.4554,0.4598,0.4688,0.4666,0.4666,0.4688,0.4732,0.4709,0.4709,0.4732,0.4866,0.4866,0.4866,0.4889,0.4911,0.4866,0.4866,0.4911,0.5134,0.5134,0.5134,0.5155
False,0.4598,0.4577,0.4577,0.4598,0.4866,0.4866,0.4866,0.4911,0.4666,0.4666,0.4666,0.4688,0.4598,0.4554,0.4554,0.4598,0.4688,0.4666,0.4666,0.4688,0.4732,0.4709,0.4709,0.4732,0.4866,0.4866,0.4866,0.4889,0.4911,0.4866,0.4866,0.4911
True,0.4354,0.433,0.433,0.4354,0.4598,0.4577,0.4577,0.4598,0.4866,0.4866,0.4866,0.4911,0.4666,0.4666,0.4666,0.4688,0.4598,0.4554,0.4554,0.4598,0.4688,0.4666,0.4666,0.4688,0.4732,0.4709,0.4709,0.4732,0.4866,0.4866,0.4866,0.4889
False,0.4396,0.4396,0.4396,0.442,0.4354,0.433,0.433,0.4354,0.4598,0.4577,0.4577,0.4598,0.4866,0.4866,0.4866,0.4911,0.4666,0.4666,0.4666,0.4688,0.4598,0.4554,0.4554,0.4598,0.4688,0.4666,0.4666,0.4688,0.4732,0.4709,0.4709,0.4732
True,0.4286,0.4241,0.4241,0.4286,0.4396,0.4396,0.4396,0.442,0.4354,0.433,0.433,0.4354,0.4598,0.4577,0.4577,0.4598,0.4866,0.4866,0.4866,0.4911,0.4666,0.4666,0.4666,0.4688,0.4598,0.4554,0.4554,0.4598,0.4688,0.4666,0.4666,0.4688
True,0.4509,0.4509,0.4509,0.45299999999999996,0.4286,0.4241,0.4241,0.4286,0.4396,0.4396,0.4396,0.442,0.4354,0.433,0.433,0.4354,0.4598,0.4577,0.4577,0.4598,0.4866,0.4866,0.4866,0.4911,0.4666,0.4666,0.4666,0.4688,0.4598,0.4554,0.4554,0.4598
True,0.4577,0.4577,0.4577,0.4598,0.4509,0.4509,0.4509,0.45299999999999996,0.4286,0.4241,0.4241,0.4286,0.4396,0.4396,0.4396,0.442,0.4354,0.433,0.433,0.4354,0.4598,0.4577,0.4577,0.4598,0.4866,0.4866,0.4866,0.4911,0.4666,0.4666,0.4666,0.4688
True,0.4732,0.4732,0.4732,0.4777,0.4577,0.4577,0.4577,0.4598,0.4509,0.4509,0.4509,0.45299999999999996,0.4286,0.4241,0.4241,0.4286,0.4396,0.4396,0.4396,0.442,0.4354,0.433,0.433,0.4354,0.4598,0.4577,0.4577,0.4598,0.4866,0.4866,0.4866,0.4911
False,0.4755,0.4755,0.4755,0.4777,0.4732,0.4732,0.4732,0.4777,0.4577,0.4577,0.4577,0.4598,0.4509,0.4509,0.4509,0.45299999999999996,0.4286,0.4241,0.4241,0.4286,0.4396,0.4396,0.4396,0.442,0.4354,0.433,0.433,0.4354,0.4598,0.4577,0.4577,0.4598
False,0.4709,0.4688,0.4688,0.4709,0.4755,0.4755,0.4755,0.4777,0.4732,0.4732,0.4732,0.4777,0.4577,0.4577,0.4577,0.4598,0.4509,0.4509,0.4509,0.45299999999999996,0.4286,0.4241,0.4241,0.4286,0.4396,0.4396,0.4396,0.442,0.4354,0.433,0.433,0.4354
False,0.4666,0.4643,0.4643,0.4666,0.4709,0.4688,0.4688,0.4709,0.4755,0.4755,0.4755,0.4777,0.4732,0.4732,0.4732,0.4777,0.4577,0.4577,0.4577,0.4598,0.4509,0.4509,0.4509,0.45299999999999996,0.4286,0.4241,0.4241,0.4286,0.4396,0.4396,0.4396,0.442
